data;
set recoveries :=  1 2 3 4 5 6 7 8 9 10 ;

set time := 1 2 3 4 5 6 7 8 9 10 11 12    ;



param r :=     #provided recovery from facility
1 0.025
2 0.026
3 0.027
4 0.028
5 0.029
6 0.030
7 0.031
8 0.032
9 0.033
10 0.034
;

param b:=       #Initial base ore sold to facility
1 16464
2 20760
3 26400
4 33600
5 43680
6 58320
7 78240
8 96480
9 112560
10 126960
;

param d:=      #incriment per month
1 1056
2 2040
3 3840
4 7104
5 13920
6 32232
7 68328
8 89472
9 112968
10 129264
;


param coef:= 1;
param m := 221760;    #maximum Total monthly production ton/month
param p :=58.8;      #Average gold price $/g
param s :=0.85;      #selling reduction percentage for nonreported production 
param l  :=0.36;       #Production cost locally (details in my notes)
param f  :=0.7;       #Production cost with facility (details in my notes)
param g :=0.030;     #fixed recovered gold per ton for local processing


param Yo  :=
 1   90552
 2  129264
 3       0
 4       0
 5       0
 6       0
 7       0
 8       0
 9       0
10       0
11       0
12       0
;



param Ro
:    1   2   3   4   5   6   7   8   9  10    :=
1    0   0   0   0   0   1   0   0   0   0
2    0   0   0   0   0   0   0   0   0   1
3    0   0   0   0   0   0   0   0   0   0
4    0   0   0   0   0   0   0   0   0   0
5    0   0   0   0   0   0   0   0   0   0
6    0   0   0   0   0   0   0   0   0   0
7    0   0   0   0   0   0   0   0   0   0
8    0   0   0   0   0   0   0   0   0   0
9    0   0   0   0   0   0   0   0   0   0
10   0   0   0   0   0   0   0   0   0   0
11   0   0   0   0   0   0   0   0   0   0
12   0   0   0   0   0   0   0   0   0   0
;

param Fo :=
 0     0
 1  2716.56
 2  7473.74
 3  7473.74
 4  7473.74
 5  7473.74
 6  7473.74
 7  7473.74
 8  7473.74
 9  7473.74
10  7473.74
11  7473.74
12  7473.74
;

param Zo :=
 0  0
 1  1
 2  1
 3  0
 4  0
 5  0
 6  0
 7  0
 8  0
 9  0
10  0
11  0
12  0
;

param Bo :=
 1  0
 2  0
 3  0
 4  0
 5  0
 6  0
 7  0
 8  0
 9  0
10  0
11  0
12  0
;

param Qo
:    1   2   3   4   5   6   7   8   9  10    :=
1    0   0   0   0   0   0   0   0   0   0
2    0   0   0   0   0   0   0   0   0   0
3    0   0   0   0   0   0   0   0   0   0
4    0   0   0   0   0   0   0   0   0   0
5    0   0   0   0   0   0   0   0   0   0
6    0   0   0   0   0   0   0   0   0   0
7    0   0   0   0   0   0   0   0   0   0
8    0   0   0   0   0   0   0   0   0   0
9    0   0   0   0   0   0   0   0   0   0
10   0   0   0   0   0   0   0   0   0   0
11   0   0   0   0   0   0   0   0   0   0
12   0   0   0   0   0   0   0   0   0   0
;

param Ao
:    1   2   3   4   5   6   7   8   9  10    :=
0    0   0   0   0   0   0   0   0   0   0
1    0   0   0   0   0   0   0   0   0   0
2    0   0   0   0   0   0   0   0   0   0
3    0   0   0   0   0   0   0   0   0   0
4    0   0   0   0   0   0   0   0   0   0
5    0   0   0   0   0   0   0   0   0   0
6    0   0   0   0   0   0   0   0   0   0
7    0   0   0   0   0   0   0   0   0   0
8    0   0   0   0   0   0   0   0   0   0
9    0   0   0   0   0   0   0   0   0   0
10   0   0   0   0   0   0   0   0   0   0
11   0   0   0   0   0   0   0   0   0   0
12   0   0   0   0   0   0   0   0   0   0
;

param Xo :=
 1  0
 2  0
 3  0
 4  0
 5  0
 6  0
 7  0
 8  0
 9  0
10  0
11  0
12  0
;

param Do :=
 1  1
 2  0
 3  0
 4  0
 5  0
 6  0
 7  0
 8  0
 9  0
10  0
11  0
12  0
;
